STT;Tên VB;Số hiệu;Status
160;Luật sửa đổi, bổ sung một số điều của Luật Đầu tư công, Luật Đầu tư theo phương thức đối tác công tư, Luật Đầu tư, Luật Nhà ở, Luật Đấu thầu, Luật Điện lực, Luật Doanh nghiệp, Luật Thuế tiêu thụ đặc biệt và Luật Thi hành án dân sự;03/2022/QH15;Văn bản hết hiệu lực một phần
161;Luật Bảo vệ môi trường;72/2020/QH14;Văn bản hết hiệu lực một phần
162;Luật Cư trú;68/2020/QH14;Văn bản hết hiệu lực một phần
163;Luật sửa đổi, bổ sung một số điều của Luật Xử lý vi phạm hành chính;67/2020/QH14;Văn bản hết hiệu lực một phần
164;Luật Hòa giải, đối thoại tại Tòa án;58/2020/QH14;Văn bản hết hiệu lực một phần
165;Luật Doanh nghiệp;59/2020/QH14;Văn bản hết hiệu lực một phần
166;Luật sửa đổi, bổ sung một số điều của Luật Phòng, chống thiên tai và Luật Đê điều;60/2020/QH14;Văn bản hết hiệu lực một phần
167;Luật Đầu tư;61/2020/QH14;Văn bản hết hiệu lực một phần
168;Luật sửa đổi, bổ sung một số điều của Luật Xây dựng của Quốc hội;62/2020/QH14;Văn bản hết hiệu lực một phần
169;Luật Đầu tư theo phương thức đối tác công tư của Quốc hội;64/2020/QH14;Văn bản hết hiệu lực một phần
170;Luật Dân quân tự vệ;48/2019/QH14;Văn bản hết hiệu lực một phần
171;Luật Lực lượng dự bị động viên;53/2019/QH14;Văn bản hết hiệu lực một phần
172;Luật sửa đổi, bổ sung một số điều của Luật Cán bộ, công chức và Luật Viên chức;52/2019/QH14;Văn bản hết hiệu lực một phần
173;Luật Chứng khoán;54/2019/QH14;Văn bản hết hiệu lực một phần
174;Luật Kiến trúc;40/2019/QH14;Văn bản hết hiệu lực một phần
175;Luật Thi hành án hình sự;41/2019/QH14;Văn bản hết hiệu lực một phần
176;Luật Phòng, chống tác hại của rượu, bia;44/2019/QH14;Văn bản hết hiệu lực một phần
177;Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, Luật Sở hữu trí tuệ;42/2019/QH14;Văn bản hết hiệu lực một phần
178;Luật Quản lý thuế;38/2019/QH14;Văn bản hết hiệu lực một phần
179;Luật Công an nhân dân;37/2018/QH14;Văn bản hết hiệu lực một phần
180;Luật sửa đổi, bổ sung một số điều của 37 Luật có liên quan đến quy hoạch;35/2018/QH14;Văn bản hết hiệu lực một phần
181;Luật Đo đạc và bản đồ;27/2018/QH14;Văn bản hết hiệu lực một phần
182;Luật Tố cáo;25/2018/QH14;Văn bản hết hiệu lực một phần
183;Luật Cạnh tranh;23/2018/QH14;Văn bản hết hiệu lực một phần
184;Luật Quốc phòng;22/2018/QH14;Văn bản hết hiệu lực một phần
185;Luật Quy hoạch;21/2017/QH14;Văn bản hết hiệu lực một phần
186;Luật Quản lý nợ công;20/2017/QH14;Văn bản hết hiệu lực một phần
187;Luật Quản lý, sử dụng tài sản công;15/2017/QH14;Văn bản hết hiệu lực một phần
188;Luật Trợ giúp pháp lý;11/2017/QH14;Văn bản hết hiệu lực một phần
189;Luật Thủy lợi;08/2017/QH14;Văn bản hết hiệu lực một phần
190;Luật Chuyển giao công nghệ;07/2017/QH14;Văn bản hết hiệu lực một phần
191;Luật Đường sắt;06/2017/QH14;Văn bản hết hiệu lực một phần
192;Luật Hỗ trợ doanh nghiệp nhỏ và vừa;04/2017/QH14;Văn bản hết hiệu lực một phần
193;Luật Tín ngưỡng, tôn giáo;02/2016/QH14;Văn bản hết hiệu lực một phần
